Date,Subject,Link,Title_1,Title_2,Title_3,Extract_Date
"Friday, June 21st",Architecture Firm Tests AI for Office-Space Design; McDonald's Robot Cook; Fighting Climate Change,http://createsend.com/t/d-DEB89C3E635DBE7E2540EF23F30FEDED,Architecture Firm Tests AI for Office-Space Design,McDonald's Robot Cook,Fighting Climate Change,2019-08-29
"Thursday, June 20th",High-Tech House Flippers; AI Research Shouldn't Be Open; Facial Recognition Used to Locate Victims,http://createsend.com/t/d-26162562868314952540EF23F30FEDED,High-Tech House Flippers,AI Research Shouldn't Be Open,Facial Recognition Used to Locate Victims,2019-08-29
"Wednesday, June 19th",California May Limit Police Use of Facial Recognition; AI Spending; Enhancing Supercomputers,http://createsend.com/t/d-54C4D27FB26412E82540EF23F30FEDED,California May Limit Police Use of Facial Recognition,AI Spending,Enhancing Supercomputers,2019-08-29
"Tuesday, June 18th",HSBC Teams Up With Element AI on Big Data; App Stores Seen Boosting Radiology AI; Robot Pizza Delivery,http://createsend.com/t/d-79A47F31A6197FBD2540EF23F30FEDED,HSBC Teams Up With Element AI on Big Data,App Stores Seen Boosting Radiology AI,Robot Pizza Delivery,2019-08-29
"Monday, June 17th",Investors Urge Startups to Heed Ethics Early; Preventing Job-Site Accidents; Amazon's Virtual Tests,http://createsend.com/t/d-6CB2CFD4B3E42BD92540EF23F30FEDED,Investors Urge Startups to Heed Ethics Early,Preventing Job-Site Accidents,Amazon's Virtual Tests,2019-08-29
"Friday, June 14th",Congress Calls For Tough 'Deepfake' Punishments; Protesters Combat Surveillance Tech; Fighting Fraud,http://createsend.com/t/d-ED6E40061D2FDF7C2540EF23F30FEDED,Congress Calls For Tough 'Deepfake' Punishments,Protesters Combat Surveillance Tech,Fighting Fraud,2019-08-29
"Thursday, June 13th",Congress Looks Into 'Deepfakes'; Why AI Needs to Forget; Adding Motion to Still Images,http://createsend.com/t/d-5AD5C2006F41AA852540EF23F30FEDED,Congress Looks Into 'Deepfakes',Why AI Needs to Forget,Adding Motion to Still Images,2019-08-29
"Wednesday, June 12th",Why Chatbots Need Humans; Matching Faces to Creditworthiness; Business Execs Cite AI Challenges,http://createsend.com/t/d-79390A1F01DA77672540EF23F30FEDED,Why Chatbots Need Humans,Matching Faces to Creditworthiness,Business Execs Cite AI Challenges,2019-08-29
"Tuesday, June 11th",Bill Aims to Limit AI Use in Video Interviews; Disinformation May Get Harder to Spot; Catching Cheaters,http://createsend.com/t/d-968DDD1176DF1FCE2540EF23F30FEDED,Bill Aims to Limit AI Use in Video Interviews,Disinformation May Get Harder to Spot,Catching Cheaters,2019-08-29
"Monday, June 10th",Making Online Job Searches Easier; Amazon Tests Delivery Robot; AI's Growing Carbon Footprint,http://createsend.com/t/d-55A75799475EFFC82540EF23F30FEDED,Making Online Job Searches Easier,Amazon Tests Delivery Robot,AI's Growing Carbon Footprint,2019-08-29
"Friday, June 7th",Customer-Service Algo Boosts Revenue; AI Pollution; Microsoft Pulls Facial-Image Database,http://createsend.com/t/d-228CE9E8E22BA4D62540EF23F30FEDED,Customer-Service Algo Boosts Revenue,AI Pollution,Microsoft Pulls Facial-Image Database,2019-08-29
"Thursday, June 6th",NHL Uses Chatbot to Interact With Fans; Image-Recognition Risk; Amazon Uses AI Across Its Business,http://createsend.com/t/d-588B2BD3B5B7DBD22540EF23F30FEDED,NHL Uses Chatbot to Interact With Fans,Image-Recognition Risk,Amazon Uses AI Across Its Business,2019-08-29
"Wednesday, June 5th",Truckers Embrace AI; Automation May Push Women From Workforce; How AI Remakes Leadership Roles,http://createsend.com/t/d-01D69E144C2200182540EF23F30FEDED,Truckers Embrace AI,Automation May Push Women From Workforce,How AI Remakes Leadership Roles,2019-08-29
"Tuesday, June 4th","Businesses Deploy AI-Powered Procurement; Small Firms, Big Benefits; Boards Face AI Decisions",http://createsend.com/t/d-D321D2B2D158C1442540EF23F30FEDED,Businesses Deploy AI-Powered Procurement,"Small Firms, Big Benefits",Boards Face AI Decisions,2019-08-29
"Monday, June 3rd","AI to Power MetLife's U.S. Call Centers; The Gig Workers Behind AI; CIA Tackles Bias, Ethics",http://createsend.com/t/d-B3F2A70B878710792540EF23F30FEDED,AI to Power MetLife's U.S. Call Centers,The Gig Workers Behind AI,"CIA Tackles Bias, Ethics",2019-08-29
"Friday, May 31st",Developing Human-Like Intelligent Machines; Experts Address Bias; Searching Abroad for Talent,http://createsend.com/t/d-11D7FC0BEA13C6D22540EF23F30FEDED,Developing Human-Like Intelligent Machines,Experts Address Bias,Searching Abroad for Talent,2019-08-29
